2037747002 assembled Ga0255346_100027241	2037747002	assembled	Ga0255346_100027241
2037747003 assembled Ga0187777_101663241	2037747003	assembled	Ga0187777_101663241
2048955004 assembled Ga0527633_001897_5146_6798	2048955004	assembled	Ga0527633_001897_5146_6798
2061766000 assembled Ga0568860_0005333_4262_5974	2061766000	assembled	Ga0568860_0005333_4262_5974
2061766007 assembled Ga0216347_1000144419	2061766007	assembled	Ga0216347_1000144419
2061766007 assembled Ga0376446_001452_3921_5720	2061766007	assembled	Ga0376446_001452_3921_5720
2065487002 assembled Ga0436477_0159936_358_1680	2065487002	assembled	Ga0436477_0159936_358_1680
2065487003 assembled Ga0315280_100164518	2065487003	assembled	Ga0315280_100164518
2065487003 assembled Ga0436477_0152105_469_1731	2065487003	assembled	Ga0436477_0152105_469_1731
2065487005 assembled Ga0395676_042268_8_1216	2065487005	assembled	Ga0395676_042268_8_1216
2065487005 assembled Ga0436477_0081756_668_2332	2065487005	assembled	Ga0436477_0081756_668_2332
2065487006 assembled Ga0395676_034665_410_2098	2065487006	assembled	Ga0395676_034665_410_2098
2065487006 assembled Ga0436477_0030010_256_1926	2065487006	assembled	Ga0436477_0030010_256_1926
2065487007 assembled Ga0395676_009736_15_1466	2065487007	assembled	Ga0395676_009736_15_1466
2065487007 assembled Ga0436477_0002160_13373_15040	2065487007	assembled	Ga0436477_0002160_13373_15040
2065487008 assembled Ga0436476_0035535_2291_3994	2065487008	assembled	Ga0436476_0035535_2291_3994
2065487009 assembled JGI24729J20445_10029122	2065487009	assembled	JGI24729J20445_10029122
2067725009 assembled JGI24731J21663_10185782	2067725009	assembled	JGI24731J21663_10185782
2077657014 assembled Ga0315292_103366501	2077657014	assembled	Ga0315292_103366501
2081372008 assembled Ga0116145_10098806	2081372008	assembled	Ga0116145_10098806
2081372008 assembled Ga0255346_100008693	2081372008	assembled	Ga0255346_100008693
2081372008 assembled Ga0558068_0004614_13335_15011	2081372008	assembled	Ga0558068_0004614_13335_15011
2084038002 assembled FeGlu_100028889	2084038002	assembled	FeGlu_100028889
2084038002 assembled Ga0334901_100049510	2084038002	assembled	Ga0334901_100049510
2084038002 assembled Ga0528620_000190_17262_18914	2084038002	assembled	Ga0528620_000190_17262_18914
2084038021 assembled Ga0315292_100318533	2084038021	assembled	Ga0315292_100318533
2124908004 assembled Ga0134312_1019531	2124908004	assembled	Ga0134312_1019531
2124908039 assembled Ga0255345_10566321	2124908039	assembled	Ga0255345_10566321
2124908039 assembled Ga0265406_10050511	2124908039	assembled	Ga0265406_10050511
2124908040 assembled Ga0315291_102606651	2124908040	assembled	Ga0315291_102606651
2140918003 assembled Ga0528472_027947_306_1529	2140918003	assembled	Ga0528472_027947_306_1529
2140918006 assembled Ga0485326_084801_280_1515	2140918006	assembled	Ga0485326_084801_280_1515
2140918009 assembled Ga0302245_10092382	2140918009	assembled	Ga0302245_10092382
2140918024 assembled JGI24710J26742_1000040232	2140918024	assembled	JGI24710J26742_1000040232
2140918025 assembled Ga0528475_000107_149210_150862	2140918025	assembled	Ga0528475_000107_149210_150862
2140918025 assembled JGI24146J20443_100182616	2140918025	assembled	JGI24146J20443_100182616
2156126002 assembled Ga0334813_055366_1_1422	2156126002	assembled	Ga0334813_055366_1_1422
2156126002 assembled Ga0334814_006302_4178_5854	2156126002	assembled	Ga0334814_006302_4178_5854
2156126002 assembled Ga0334820_000230_28870_30558	2156126002	assembled	Ga0334820_000230_28870_30558
2156126002 assembled JGI24025J20009_100064215	2156126002	assembled	JGI24025J20009_100064215
2156126002 assembled JGI24025J20009_100113802	2156126002	assembled	JGI24025J20009_100113802
2162886008 assembled Ga0395676_008162_3783_5234	2162886008	assembled	Ga0395676_008162_3783_5234
2162886008 assembled Ga0485326_035400_1456_2733	2162886008	assembled	Ga0485326_035400_1456_2733
2189573022 assembled Ga0120198_0018181_2562_4250	2189573022	assembled	Ga0120198_0018181_2562_4250
2189573022 assembled Ga0209411_1000484	2189573022	assembled	Ga0209411_1000484
2189573022 assembled Ga0395675_029566_219_1517	2189573022	assembled	Ga0395675_029566_219_1517
2199034002 assembled Ga0395675_012715_42_1721	2199034002	assembled	Ga0395675_012715_42_1721
2199034002 assembled Ga0485326_003284_5024_6709	2199034002	assembled	Ga0485326_003284_5024_6709
2199352030 assembled JGI24721J44947_100075232	2199352030	assembled	JGI24721J44947_100075232
2225789003 assembled Ga0102514_10016918	2225789003	assembled	Ga0102514_10016918
2225789003 assembled Ga0334886_10034528	2225789003	assembled	Ga0334886_10034528
2225789004 assembled Ga0334813_014151_1253_2905	2225789004	assembled	Ga0334813_014151_1253_2905
2225789004 assembled Ga0497338_012215_256_1908	2225789004	assembled	Ga0497338_012215_256_1908
2228664010 assembled Ga0172382_1000611619	2228664010	assembled	Ga0172382_1000611619
2228664010 assembled Ga0208034_100085916	2228664010	assembled	Ga0208034_100085916
2228664010 assembled Ga0496363_0000043_64115_65926	2228664010	assembled	Ga0496363_0000043_64115_65926
2228664010 assembled Ga0504914_0000072_36628_38316	2228664010	assembled	Ga0504914_0000072_36628_38316
2236876020 assembled Ga0255345_10206755	2236876020	assembled	Ga0255345_10206755
2502232811 assembled Ga0376962_011961_4974_6425	2502232811	assembled	Ga0376962_011961_4974_6425
2502870849 assembled Ga0115359_100110111	2502870849	assembled	Ga0115359_100110111
2505380168 assembled Ga0194112_100466913	2505380168	assembled	Ga0194112_100466913
2505968448 assembled Ga0310694_102662091	2505968448	assembled	Ga0310694_102662091
2505971857 assembled Ga0302338_10093805	2505971857	assembled	Ga0302338_10093805
