Scaffold ID
3300002821 assembled Iso3TCLC_10052866
3300003665 assembled LSCM4Ex_1000212
3300002127 assembled JGI20164J26629_10008101
3300002103 assembled JGI24147J26652_1013770
3300002167 assembled JGI24714J26587_10001149
3300001749 assembled JGI24025J20009_10006421
3300000477 assembled SL_5KL_010_SEDDRAFT_10005751
3300003369 assembled JGI24140J50213_10007620
3300001682 assembled SAHD_10010230
3300002469 assembled JGI24701J34945_10000477
3300001688 assembled SAHDGT3000_10001126
3300001483 assembled rank05_10090863
3300000563 assembled SL_3KL_010_SEDDRAFT_10091852
3300001865 assembled JGI2065J20421_1000178
3300000563 assembled SL_3KL_010_SEDDRAFT_10108950
3300001096 assembled JGI11944J13513_1004617
3300001784 assembled JGI20225J20221_1000004
3300001480 assembled rank13_10021914
3300002164 assembled JGI24708J26588_10013043
3300002170 assembled JGI24711J26586_10015637
3300001529 assembled rank38_10495227
3300002183 assembled JGI24145J26757_10000155
3300000062 assembled IMNBL1DRAFT_c0005028
3300002481 assembled JGI24020J35080_1001141
3300001866 assembled JGI24729J20445_1007484
3300002966 assembled JGI24721J44947_10056998
3300001914 assembled JGI24731J21663_1006536
3300001914 assembled JGI24731J21663_1021247
3300003667 assembled LSCM3L_1002636
3300003369 assembled JGI24140J50213_10000173
3300002551 assembled JGI24135J36437_1000588
3300001096 assembled JGI11944J13513_1001566
3300002179 assembled JGI24141J26756_1031397
3300003332 assembled GBSed_10001401
3300001095 assembled JGI12104J13512_1000259
3300001688 assembled SAHDGT3000_10005293
3300001784 assembled JGI20225J20221_1000261
3300002569 assembled JGI24136J36422_10000800
3300002180 assembled JGI24724J26744_10035285
3300002961 assembled JGI11641J44799_10003429
3300000557 assembled SL_8KL_010_SEDDRAFT_10006010
3300001096 assembled JGI11944J13513_1000680
3300002173 assembled JGI24709J26583_10000207
3300001368 assembled JGI20225J14565_1013377
3300002166 assembled JGI24713J26584_10011289
3300002173 assembled JGI24709J26583_10003454
