Scaffold ID
3300042902 assembled Ga0455840_0000053
3300033170 assembled Ga0334884_1003730
3300040998 assembled Ga0395526_000448
3300059061 assembled Ga0574372_10431
3300041753 assembled Ga0452033_0706547
3300033167 assembled Ga0334898_1038093
3300054069 assembled nmdc:mga0f598_5169_c1
3300054053 assembled nmdc:mga08r34_360_c1
3300056676 assembled Ga0558070_0000539
3300052277 assembled Ga0528655_014371
3300036943 assembled Ga0377187_000271
3300060291 assembled Ga0568894_0228819
3300050123 assembled Ga0500012_000030
3300057053 assembled Ga0568900_0103473
3300045006 assembled Ga0438302_0002874
3300031485 assembled Ga0325302_1065249
3300038409 assembled Ga0436468_0195894
3300033557 assembled Ga0316617_100080962
3300037214 assembled Ga0395680_0000190
3300033164 assembled Ga0334894_1000369
3300031952 assembled Ga0315294_10076239
3300037065 assembled Ga0395704_052279
3300038395 assembled Ga0415639_257697
3300041726 assembled Ga0451981_0253381
3300033172 assembled Ga0334888_1009554
3300052285 assembled Ga0528627_001381
3300056885 assembled Ga0568890_0101520
3300038388 assembled Ga0394209_05851
3300054082 assembled nmdc:mga0np53_541_c1
3300057017 assembled Ga0568921_0004445
3300034983 assembled Ga0334969_018427
3300056901 assembled Ga0568903_0005829
3300050581 assembled Ga0531113_012483
3300057053 assembled Ga0568900_0370448
3300032829 assembled Ga0335070_10401013
3300048591 assembled Ga0498929_0008311
3300042611 assembled Ga0466697_218546
3300051819 assembled Ga0528671_000057
3300056888 assembled Ga0568905_0206800
3300038679 assembled Ga0401391_073017
3300038424 assembled Ga0427935_0004287
3300041566 assembled Ga0451917_1126556
3300031604 assembled Ga0315309_1032266
3300033161 assembled Ga0334893_1021431
3300050372 assembled Ga0506668_041076
3300037264 assembled Ga0393283_0160077
3300048576 assembled Ga0498943_023589
3300056899 assembled Ga0568883_0002683
3300048044 assembled Ga0497337_004558
3300033176 assembled Ga0334886_1009828
3300032069 assembled Ga0315282_10240396
3300044580 assembled Ga0485776_0009030
3300051161 assembled Ga0526684_0005414
3300048562 assembled Ga0496020_025984
3300057307 assembled Ga0583562_0028113
3300033165 assembled Ga0334892_1000003
3300036879 assembled Ga0334800_068796
3300043116 assembled Ga0484787_002317
3300050393 assembled Ga0506673_027663
3300048038 assembled Ga0497325_016726
3300045917 assembled Ga0496409_0001713
3300031885 assembled Ga0315285_10045537
3300035641 assembled Ga0394090_15932
3300051503 assembled Ga0527659_004989
3300035523 assembled Ga0376481_036429
3300051514 assembled Ga0527694_046738
3300037608 assembled Ga0401393_002670
3300036940 assembled Ga0377182_000003
3300049646 assembled Ga0499525_000735
3300032118 assembled Ga0315277_10233116
3300033405 assembled Ga0326727_10143151
3300055497 assembled Ga0556694_000045
3300035701 assembled Ga0373625_0061415
3300037067 assembled Ga0378408_0007073
3300036982 assembled Ga0393266_0035483
3300035039 assembled Ga0376513_001816
3300047195 assembled Ga0494772_039295
3300049913 assembled Ga0494767_0000355
3300033405 assembled Ga0326727_10276537
3300035376 assembled Ga0393871_07718
3300037061 assembled Ga0334870_057933
3300041718 assembled Ga0451999_1472549
3300045146 assembled Ga0438316_0003799
3300035448 assembled Ga0394086_05093
3300050015 assembled Ga0494705_0029127
3300035561 assembled Ga0394202_023742
3300052285 assembled Ga0528627_001084
3300041850 assembled Ga0452059_1599050
3300052307 assembled Ga0527693_044151
3300032070 assembled Ga0315279_10000216
3300033171 assembled Ga0334895_1001753
3300033177 assembled Ga0334883_1001703
3300043168 assembled Ga0484848_003136
3300049717 assembled Ga0495412_0046407
3300033175 assembled Ga0334890_1043903
3300050352 assembled Ga0495419_0020901
3300034787 assembled Ga0376953_01907
3300056905 assembled Ga0568917_0070628
3300036965 assembled Ga0377224_000017
