Scaffold ID
3300057027 assembled Ga0568919_0001165
3300036977 assembled Ga0393259_0042530
3300050015 assembled Ga0494705_0070641
3300046698 assembled Ga0495367_027169
3300051619 assembled Ga0527695_002398
3300035548 assembled Ga0376531_008931
3300051207 assembled Ga0526688_0028038
3300037067 assembled Ga0378408_0010726
3300043294 assembled Ga0439250_000001
3300035382 assembled Ga0393879_18055
3300041846 assembled Ga0452065_1077723
3300049725 assembled Ga0495421_0011981
3300032897 assembled Ga0335071_10001222
3300033991 assembled Ga0334965_0104040
3300032164 assembled Ga0315283_10099997
3300032770 assembled Ga0335085_10090020
3300057024 assembled Ga0568885_0012356
3300036930 assembled Ga0334841_036864
3300045917 assembled Ga0496409_0000316
3300056867 assembled Ga0568854_0074725
3300039501 assembled Ga0435825_000154
3300040733 assembled Ga0439193_000010
3300036964 assembled Ga0377223_000012
3300035542 assembled Ga0376504_006879
3300050028 assembled Ga0495363_098263
3300037993 assembled Ga0427919_0002146
3300033150 assembled Ga0366835_1001817
3300033166 assembled Ga0334900_1001200
3300035679 assembled Ga0326725_0028403
3300035411 assembled Ga0393905_3685
3300041759 assembled Ga0452045_0116608
3300041663 assembled Ga0451919_4053784
3300057032 assembled Ga0568849_0208895
3300045891 assembled Ga0496348_006721
3300033174 assembled Ga0334882_1000436
3300051647 assembled Ga0531545_0000053
3300033174 assembled Ga0334882_1000347
3300033171 assembled Ga0334895_1002297
3300035561 assembled Ga0394202_002087
3300056887 assembled Ga0568904_0026509
3300051840 assembled Ga0528618_000182
3300036953 assembled Ga0377210_000367
3300052312 assembled Ga0528629_001727
3300033170 assembled Ga0334884_1002442
3300050014 assembled Ga0494704_029952
3300051050 assembled Ga0527664_021320
3300033142 assembled Ga0366826_1006399
3300033170 assembled Ga0334884_1059311
3300033170 assembled Ga0334884_1002544
3300038648 assembled Ga0427944_0037097
3300037086 assembled Ga0334812_059370
3300045116 assembled Ga0438313_0037469
3300047646 assembled Ga0497327_003633
3300032163 assembled Ga0315281_10004240
3300033520 assembled Ga0371437_1071763
3300031867 assembled Ga0326511_10011523
3300038679 assembled Ga0401391_000018
3300033161 assembled Ga0334893_1005696
3300031885 assembled Ga0315285_10026334
3300057244 assembled Ga0499969_0050172
3300033177 assembled Ga0334883_1003504
3300036972 assembled Ga0377232_002036
3300035179 assembled Ga0373630_0003869
3300034416 assembled Ga0374214_000113
3300046505 assembled Ga0495439_0124336
3300035550 assembled Ga0393985_01400
3300042621 assembled Ga0466729_142212
3300042089 assembled Ga0466255_069691
3300051196 assembled Ga0528493_0005723
3300037528 assembled Ga0334897_000054
3300050334 assembled Ga0528474_009420
3300037171 assembled Ga0395639_000164
3300046685 assembled Ga0494751_0057960
3300041699 assembled Ga0451957_0719944
3300048049 assembled Ga0497342_007237
3300037249 assembled Ga0392371_0067315
3300057047 assembled Ga0568841_0034169
3300056905 assembled Ga0568917_0237815
3300037843 assembled Ga0427918_0017807
3300056902 assembled Ga0568906_0198752
3300031873 assembled Ga0315297_10035596
3300051633 assembled Ga0527715_003585
3300056902 assembled Ga0568906_0080900
3300060650 assembled Ga0597045_0095865
3300041736 assembled Ga0452017_1628808
3300045871 assembled Ga0496376_000824
3300051812 assembled Ga0528661_029633
3300039214 assembled Ga0401122_0003397
3300047186 assembled Ga0494797_006080
3300038428 assembled Ga0427950_001707
3300052311 assembled Ga0528621_000041
3300050140 assembled Ga0500035_028193
3300055506 assembled Ga0556707_000040
3300038675 assembled Ga0416708_009226
3300051630 assembled Ga0527712_003029
3300033817 assembled Ga0373875_000530
3300036987 assembled Ga0377238_000001
3300050027 assembled Ga0495362_013109
3300051625 assembled Ga0527703_000218
3300035557 assembled Ga0394029_14028
3300033171 assembled Ga0334895_1037824
3300052294 assembled Ga0528638_011516
3300049702 assembled Ga0499529_013436
3300033178 assembled Ga0334885_1053541
3300035050 assembled Ga0376522_002906
3300051019 assembled Ga0526686_0065190
3300055492 assembled Ga0556686_000115
3300033176 assembled Ga0334886_1000170
