Ga0127413_100021006
Ga0127412_100004832
Ga0115358_100028062
Ga0074260_1264
Ga0074260_15228
JGI24024J18818_100021615
Ga0075115_100065192
Ga0072682_1148603
Ga0401162_00046_884_2569
Ga0370355_10080295
Ga0366836_10031034
Ga0366837_11187362
Ga0366835_10155108
Ga0366826_10063995
Ga0366826_10207545
Ga0326328_100023441
Ga0311296_13062192
Ga0209013_1000033024
Ga0209121_100035882
Ga0190315_10005386
Ga0190303_10029054
Ga0190304_10039285
Ga0190316_10049372
Ga0466254_065428_7465_9150
Ga0190315_10026432
Ga0190348_10003784
Ga0190347_10012967
Ga0190330_10021674
Ga0190346_10026352
Ga0366832_12329471
Ga0366826_11955472
Ga0164315_101697382
Ga0164318_101778472
Ga0115359_101088941
Ga0366827_10394775
Ga0190331_10107921
Ga0115359_100110111
Ga0438695_0259696_2_1357
Ga0238415_041620_160_1512
Ga0164310_100425673
Ga0366824_11346125
Ga0366829_11097025
Ga0190345_10111811
Ga0190334_10114404
Ga0366827_10673761
