Gene ID
3300049436 assembled Ga0031656_100123501
3300048558 assembled Ga0051080_101487027
3300048072 assembled Ga0055436_100412341
3300040953 assembled Ga0055472_100038271
3300040951 assembled Ga0055483_100014145
3300002171 assembled Ga0055483_100303691
3300060291 assembled Ga0055483_100373401
3300056899 assembled Ga0055484_100023603
3300044603 assembled Ga0062441_100318637
3300035641 assembled Ga0065708_10405515
3300035455 assembled Ga0065718_10250305
3300027958 assembled Ga0065718_10253126
3300006094 assembled Ga0066599_1000165723
3300042534 assembled Ga0066793_100052367
3300034984 assembled Ga0066793_100319422
3300028601 assembled Ga0066794_100002884
3300060621 assembled Ga0066794_100381451
3300028641 assembled Ga0066797_10031786
3300009664 assembled Ga0066798_100080382
3300009529 assembled Ga0068302_100013445
3300024433 assembled Ga0068302_100122725
3300059599 assembled Ga0068304_10562144
3300044508 assembled Ga0068304_10782121
3300034955 assembled Ga0068304_11722681
3300028433 assembled Ga0068305_100583342
3300051813 assembled Ga0068305_101678521
3300051810 assembled Ga0068711_1000016286
3300031952 assembled Ga0068711_10000736
3300009529 assembled Ga0068711_10001326
3300009379 assembled Ga0068711_10032032
3300009134 assembled Ga0068711_10097181
3300005373 assembled Ga0068711_10119721
3300005373 assembled Ga0068711_10222901
3300005373 assembled Ga0068712_100036924
3300005373 assembled Ga0068713_100033724
3300005373 assembled Ga0069004_100137451
3300032024 assembled Ga0070399_100022725
3300029798 assembled Ga0070399_100047525
3300009494 assembled Ga0070399_100114528
3300005823 assembled Ga0070399_100386113
3300005820 assembled Ga0070399_10350352
3300005373 assembled Ga0071328_1609903
3300059599 assembled Ga0071344_10033885
3300057053 assembled Ga0071344_10055692
3300057045 assembled Ga0071344_10563732
3300057044 assembled Ga0071345_10074562
3300057027 assembled Ga0071346_10013997
3300057017 assembled Ga0071346_10058175
3300057014 assembled Ga0071346_10084628
3300057010 assembled Ga0071346_101046710
3300056905 assembled Ga0071346_10109514
3300056902 assembled Ga0072335_100293331
3300056897 assembled Ga0072335_100689561
3300056888 assembled Ga0072335_101258178
3300056885 assembled Ga0072336_100632347
3300056883 assembled Ga0072336_101029855
3300032516 assembled Ga0072504_1148478
3300029813 assembled Ga0072504_11917812
3300029813 assembled Ga0072504_1423044
3300005098 assembled Ga0072504_1432993
3300056973 assembled Ga0072682_1108373
3300031369 assembled Ga0072682_1148603
3300024433 assembled Ga0072683_1009564
3300023182 assembled Ga0072683_1012698
3300021360 assembled Ga0072683_1056445
2875775409 assembled Ga0072683_1056538
2626623751 assembled Ga0072683_1056549
3300056905 assembled Ga0072724_1026622
3300034683 assembled Ga0072934_101628642
3300033985 assembled Ga0072941_12553731
3300024423 assembled Ga0072941_15678091
3300021511 assembled Ga0073932_100049285
3300028837 assembled Ga0073932_10009162
2875771203 assembled Ga0074044_101980621
3300029812 assembled Ga0074045_101604841
3300039098 assembled Ga0074046_1000049930
3300037264 assembled Ga0074046_100205661
3300035038 assembled Ga0074127_1000694
3300033513 assembled Ga0074127_1004794
3300008340 assembled Ga0074127_1006156
3300003664 assembled Ga0074127_1025612
3300003535 assembled Ga0074193_100013187
3300036940 assembled Ga0074193_100047642
3300033144 assembled Ga0074193_10024987
3300029813 assembled Ga0074193_100359111
3300009492 assembled Ga0074193_10048365
3300009379 assembled Ga0074193_10051437
3300005100 assembled Ga0074193_10091682
3300056905 assembled Ga0074193_10091775
3300056905 assembled Ga0074195_1000014464
3300056888 assembled Ga0074195_100056383
3300043113 assembled Ga0074195_100088342
3300042274 assembled Ga0074195_10009859
3300042273 assembled Ga0074195_100171810
3300042270 assembled Ga0074195_10109535
3300042086 assembled Ga0074195_10120201
3300035540 assembled Ga0074195_10212972
3300035053 assembled Ga0074195_10363842
3300032156 assembled Ga0074197_100012231
3300032118 assembled Ga0074197_100017431
3300032053 assembled Ga0074198_1000021321
3300027858 assembled Ga0074198_1000041223
3300038697 assembled Ga0074198_1000073125
3300036943 assembled Ga0074198_100009093
3300036941 assembled Ga0074198_100009253
3300007712 assembled Ga0074198_100010638
3300007635 assembled Ga0074198_100014770
3300007535 assembled Ga0074198_100032126
2842054787 assembled Ga0074198_100033517
2568495745 assembled Ga0074198_100062314
2566125579 assembled Ga0074198_100075210
3300051644 assembled Ga0074198_10017007
3300050645 assembled Ga0074198_10033079
3300050336 assembled Ga0074199_100005144
3300040971 assembled Ga0074199_1000091100
3300038679 assembled Ga0074199_1000134188
3300038450 assembled Ga0074199_100045132
3300038427 assembled Ga0074199_100139810
3300037608 assembled Ga0074199_10017502
3300037045 assembled Ga0074199_10031831
3300037043 assembled Ga0074199_10056491
3300036987 assembled Ga0074199_10063451
3300035701 assembled Ga0074199_10082641
3300033416 assembled Ga0074199_10087231
3300031746 assembled Ga0074219_1063807
3300025156 assembled Ga0074229_1070321
3300024353 assembled Ga0074230_16569152
3300021503 assembled Ga0074254_113004867
3300021500 assembled Ga0074258_10100342
3300021468 assembled Ga0074258_10147811
3300017938 assembled Ga0074260_10334
3300014502 assembled Ga0074260_1063
3300042535 assembled Ga0074260_10836
3300037048 assembled Ga0074260_1121
3300037047 assembled Ga0074260_1176
3300029221 assembled Ga0074260_1243
3300021471 assembled Ga0074260_1264
3300009194 assembled Ga0074260_13936
3300006634 assembled Ga0074260_14532
2875924903 assembled Ga0074260_15228
2875766827 assembled Ga0074260_1578
2875764843 assembled Ga0074279_1001647
2875761270 assembled Ga0074280_13113
2675981406 assembled Ga0074305_1257140
3300057024 assembled Ga0075012_102256201
3300048039 assembled Ga0075114_1000039324
3300047646 assembled Ga0075115_100004056
3300043116 assembled Ga0075115_100065192
3300038986 assembled Ga0075123_1000027224
3300036943 assembled Ga0075123_100005456
3300036942 assembled Ga0075124_100018687
3300036941 assembled Ga0075124_100031115
3300035548 assembled Ga0075124_100535391
3300035548 assembled Ga0075315_10004862
3300035541 assembled Ga0075316_10116741
3300035538 assembled Ga0075317_10017633
3300035536 assembled Ga0075318_10007854
3300035532 assembled Ga0075319_10013663
3300035528 assembled Ga0075319_10026562
3300035527 assembled Ga0075320_10037152
3300035051 assembled Ga0075323_10008724
3300033991 assembled Ga0075359_10021471
3300033145 assembled Ga0075360_10051721
3300033145 assembled Ga0075360_10083301
3300031673 assembled Ga0075518_10079391
3300028034 assembled Ga0075518_10234271
3300006517 assembled Ga0075519_10015901
3300003471 assembled Ga0075520_10082265
3300002498 assembled Ga0075520_10087021
3300000114 assembled Ga0075520_10111606
3300000103 assembled Ga0075520_10611381
8074446420 assembled Ga0075524_100020425
8074444032 assembled Ga0075524_100532841
8074440289 assembled Ga0075524_100598621
8074439538 assembled Ga0075525_100014076
8065842209 assembled Ga0075528_100222611
3300051647 assembled Ga0075529_10031581
3300051208 assembled Ga0076816_100938534
3300050372 assembled Ga0076816_100938941
3300043113 assembled Ga0076816_104201301
3300043034 assembled Ga0076946_1206471
3300043030 assembled Ga0077109_10003761
3300042902 assembled Ga0077109_10006149
3300042782 assembled Ga0077109_10008589
3300042781 assembled Ga0077123_1006663
3300042780 assembled Ga0077562_1149632
3300038985 assembled Ga0078745_10124582
3300038661 assembled Ga0078747_1001003
3300038380 assembled Ga0078972_100011284
3300037504 assembled Ga0078972_1000747111
3300036718 assembled Ga0078972_100176627
3300036593 assembled Ga0078972_10022689
3300035547 assembled Ga0078972_100248432
3300035537 assembled Ga0078972_100433334
3300035105 assembled Ga0078972_101124810
3300035103 assembled Ga0078972_10112485
3300035053 assembled Ga0079037_1001479712
3300035041 assembled Ga0079290_1005003
3300035039 assembled Ga0079303_100186022
3300035036 assembled Ga0079305_1000014264
3300033692 assembled Ga0079305_100009220
3300033232 assembled Ga0079305_100013499
3300032113 assembled Ga0079305_100032891
3300031987 assembled Ga0079305_100067411
