#OTUID ID	taxonomy	Confidence
00fad3ece7f3d7e3b94e8d4afa32214b	d__Bacteria;p__Myxococcota;c__Polyangia;o__UASB-TL25;f__UASB-TL25;g__UASB-TL25;s__	0.999327035583147
00fafd647065fd6f1a215b0f2a84b5be	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__uncultured;s__	0.9998897582280198
00fea3c6c23db26e0af46da2262a2785	d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__uncultured;s__	0.9646369168374611
010fc9fd4041ac38c642380a80ac889e	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__uncultured;s__	0.9998857006071663
011769dfa0222b67e636c02946c58f4f	Unassigned	0.34821559412836844
011cf8301ab1926521489d22108d242c	d__Eukaryota;p__Schizoplasmodiida;c__Schizoplasmodiida;o__Schizoplasmodiida;f__Schizoplasmodiida	0.7546729606804816
012174ae5111b660a861257fefe26f24	d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Anoxynatronum;s__	0.9942081080385893
012b1f29cae2f14e0335d3b9b34f8632	d__Bacteria;p__Spirochaetota;c__Leptospirae;o__Leptospirales;f__Leptospiraceae;g__RBG-16-49-21;s__	0.9999381277437114
012b53535a11ea7ab3084bedceb448c1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.9996733298041597
013f23357cc8e8cc4d29957880e3b807	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Methyloversatilis;s__	0.9999917217951001
014236f8691b0fff3d4f4d6ef22d0980	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__uncultured;g__uncultured;s__	0.9999868637432245
01446f018657dca2b5144071e50e1d8b	d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia	0.9360713938542486
0150574a1f5c0c5689facd0c0b452a41	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira;s__	0.9999999999812843
01695199a0e2a2ce73299952a9b828cc	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__uncultured;s__	0.9875448080191852
016af6cc4148897b9c83aecaa0a1756e	d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__uncultured;s__	0.9677025081302028
017069be13557608e62150bb4f89786e	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Sphaerochaeta;s__	0.9972088790656146
0181d2de99590198bc3542d5a9a92f00	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__uncultured;s__	0.9999998112405173
019487cf87b9d0f04710efbd88ac796d	d__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Geoarchaeales;f__SCGC_AAA471-B05;g__SCGC_AAA471-B05;s__	0.9999894760667843
019884705a7c717f2ff68ba0ce9c10dc	d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Fusibacteraceae;g__Fusibacter;s__	0.9960422995155708
01a5825312a70951aab1475112f9d4e0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__	0.9933822498605234
01a91ac39626e9c66408766500a5c268	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae	0.9978077433541475
01afcf0759dd8c7efa3d7c68d8c61864	d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Pelolinea;s__	0.9999674668193453
01b360e0d98d221c9e2cf0d62acca124	d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Anaerovoracaceae;s__	0.8153275710804818
01c2cea8f5a9c6a4fe750343873f4245	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Hydrogenophilaceae;g__Thiobacillus;s__	0.9991793788217825
01cb56e65c1404bf6bf2001e8544da4b	d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae	0.9994853475923509
